Model,PC1,PC2,Distance_to_Ideal
YOLOv8sNick,1.9424,1.4939,0.9141
YOLOv8mNick,2.1415,0.7797,1.4875
YOLOv11nNickData960,2.3558,0.0319,2.2018
YOLOv11sNickData960,2.4884,0.1137,2.2160
YOLOv11mNickData960,2.9898,-0.0940,2.7052
YOLOv8sMerged,-2.2570,0.8823,3.4854
YOLOv8nNick,2.2596,-1.4880,3.5230
YOLOv11nMergedData960,-2.3517,0.0558,3.8797
YOLOv8nMerged,-2.8505,0.5482,4.1506
YOLOv8mMerged,-3.1094,0.9698,4.2929
YOLOv11mMergedData960,-2.3452,-1.1582,4.5614
YOLOv11sMergedData960,-1.2638,-2.1351,4.6196
