Dataset,Model,Precision,Recall,mAP@0.5,mAP@0.5:0.95,Preprocess (ms/img),Inference (ms/img),Postprocess (ms/img),Total (ms/img),FPS
MergedData,YOLOv11mMergedData960,0.823,0.824,0.858,0.759,0.35,19.1,0.54,19.99,50.0
MergedData,YOLOv8mMerged,0.851,0.833,0.861,0.758,0.38,19.46,0.54,20.37,49.1
MergedData,YOLOv8sMerged8Batch,0.84,0.84,0.849,0.757,0.38,8.5,1.26,10.14,98.6
MergedData,YOLOv8sMerged,0.845,0.819,0.857,0.719,0.44,8.54,0.86,9.84,101.6
MergedData,YOLOv11sMergedData960,0.81,0.813,0.845,0.707,0.45,8.57,0.54,9.56,104.6
MergedData,YOLOv11nMergedData960,0.807,0.809,0.817,0.673,0.45,4.11,0.65,5.2,192.2
MergedData,YOLOv8nMerged8Batch,0.845,0.788,0.841,0.671,0.46,4.06,1.49,6.02,166.2
MergedData,YOLOv8nMerged16Batch,0.801,0.771,0.814,0.634,0.57,4.09,1.26,5.92,168.9
MergedData,YOLOv8nMerged,0.783,0.742,0.785,0.595,0.48,3.89,1.28,5.65,177.1
MergedData,YOLOv11sNickData960,0.393,0.293,0.233,0.124,0.45,8.44,0.74,9.63,103.8
MergedData,YOLOv11mNickData960,0.381,0.304,0.232,0.12,0.41,19.07,0.53,20.01,50.0
MergedData,YOLOv8mNick,0.371,0.312,0.23,0.115,0.16,8.94,1.19,10.3,97.1
MergedData,YOLOv11nNickData960,0.389,0.282,0.222,0.111,0.43,3.99,0.51,4.93,202.6
MergedData,YOLOv8sNick,0.378,0.301,0.21,0.102,0.57,8.32,1.26,10.16,98.4
MergedData,YOLOv8nNick,0.382,0.313,0.225,0.102,0.6,4.12,1.54,6.26,159.7
REU_Oyster_2024_Improved-2,YOLOv11sNickData960,0.911,0.839,0.899,0.705,0.67,8.52,0.46,9.65,103.6
REU_Oyster_2024_Improved-2,YOLOv11mNickData960,0.917,0.841,0.929,0.703,0.45,19.83,0.35,20.63,48.5
REU_Oyster_2024_Improved-2,YOLOv8mNick,0.874,0.844,0.9,0.681,0.36,8.99,0.52,9.87,101.3
REU_Oyster_2024_Improved-2,YOLOv11nNickData960,0.891,0.828,0.904,0.67,0.33,4.16,1.05,5.53,180.7
REU_Oyster_2024_Improved-2,YOLOv8sNick,0.86,0.862,0.9,0.659,0.5,8.69,0.73,9.93,100.7
REU_Oyster_2024_Improved-2,YOLOv8nNick,0.898,0.781,0.894,0.643,0.87,4.24,1.47,6.58,152.0
REU_Oyster_2024_Improved-2,YOLOv11sMergedData960,0.915,0.805,0.902,0.538,0.44,8.48,0.49,9.41,106.3
REU_Oyster_2024_Improved-2,YOLOv11mMergedData960,0.881,0.819,0.869,0.517,0.53,19.9,0.94,21.37,46.8
REU_Oyster_2024_Improved-2,YOLOv8sMerged,0.855,0.88,0.899,0.513,0.33,8.77,0.68,9.78,102.2
REU_Oyster_2024_Improved-2,YOLOv8mMerged,0.84,0.868,0.855,0.511,0.45,19.63,0.38,20.46,48.9
REU_Oyster_2024_Improved-2,YOLOv11nMergedData960,0.846,0.842,0.879,0.506,0.56,4.06,1.12,5.74,174.2
REU_Oyster_2024_Improved-2,YOLOv8nMerged16Batch,0.828,0.808,0.87,0.499,0.8,4.0,1.36,6.16,162.2
REU_Oyster_2024_Improved-2,YOLOv8sMerged8Batch,0.884,0.836,0.872,0.493,0.76,8.43,0.71,9.9,101.0
REU_Oyster_2024_Improved-2,YOLOv8nMerged8Batch,0.872,0.802,0.871,0.485,0.82,3.98,1.46,6.27,159.6
REU_Oyster_2024_Improved-2,YOLOv8nMerged,0.785,0.822,0.857,0.482,0.8,4.18,1.38,6.36,157.2
