                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95273,                0.72485,                 1.2966,                0.77966,                0.89702,                0.89367,                0.64976,                0.26814,                 1.1801,                0.38899,               0.000467,               0.000467,               0.000467
                     36,                0.93452,                0.71847,                 1.2876,                0.82515,                0.83671,                0.88319,                0.64027,                0.26391,                 2.1957,                0.39047,              0.0004387,              0.0004387,              0.0004387
                     37,                0.92338,                 0.7084,                 1.2793,                0.86253,                0.76816,                0.86706,                0.63262,                0.26168,                 2.1559,                0.38799,             0.00041041,             0.00041041,             0.00041041
                     38,                0.90449,                0.69023,                 1.2631,                0.82845,                0.81119,                0.87238,                0.63644,                0.25686,                 1.6861,                0.38804,             0.00038211,             0.00038211,             0.00038211
                     39,                0.89893,                0.67791,                 1.2588,                0.88729,                0.79166,                0.88717,                0.65583,                0.26346,                 2.4192,                  0.393,             0.00035382,             0.00035382,             0.00035382
                     40,                0.89125,                 0.6684,                  1.251,                0.87704,                  0.782,                0.89204,                0.65965,                0.25112,                 1.4539,                 0.3837,             0.00032553,             0.00032553,             0.00032553
                     41,                0.77879,                0.49694,                 1.1925,                0.90987,                0.80049,                0.89783,                0.65822,                0.26225,                 1.4628,                0.38409,             0.00029723,             0.00029723,             0.00029723
                     42,                0.74896,                0.47259,                 1.1666,                0.87761,                0.82409,                0.90082,                0.67767,                0.25019,                 1.3517,                0.38276,             0.00026894,             0.00026894,             0.00026894
                     43,                  0.726,                0.45574,                  1.146,                0.81176,                0.87917,                0.90175,                0.66999,                0.25344,                0.80635,                0.38937,             0.00024064,             0.00024064,             0.00024064
                     44,                0.71394,                0.44628,                 1.1461,                0.88262,                0.84721,                 0.9152,                0.67326,                0.25435,                 1.2001,                0.39079,             0.00021235,             0.00021235,             0.00021235
                     45,                0.69834,                 0.4322,                 1.1323,                0.88036,                0.83717,                0.90026,                0.66962,                0.25297,                 1.4165,                 0.3903,             0.00018406,             0.00018406,             0.00018406
                     46,                0.68234,                0.42334,                 1.1227,                0.91775,                0.79248,                0.90665,                0.67839,                0.24984,                0.75599,                0.38989,             0.00015576,             0.00015576,             0.00015576
                     47,                0.66588,                0.40829,                 1.1069,                0.88186,                 0.8699,                0.91341,                0.68645,                0.25083,                0.70363,                0.39009,             0.00012747,             0.00012747,             0.00012747
                     48,                0.64284,                0.39668,                 1.0919,                0.85842,                0.86264,                0.90038,                0.68427,                0.24869,                0.67823,                0.39164,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.63566,                0.39324,                 1.0861,                0.92541,                0.80124,                0.89859,                0.68656,                0.25221,                0.53637,                0.39553,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.62474,                0.38326,                 1.0785,                0.92636,                0.79812,                0.89826,                0.68468,                0.24543,                0.50617,                0.39083,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      1,                 1.7396,                 2.1509,                 1.9037,                0.46958,                0.37004,                0.30961,                0.16475,                0.51315,                 17.722,                  0.538,              0.0033265,              0.0033265,              0.0033265
                      2,                 1.5524,                 1.6452,                  1.717,                0.59594,                0.30934,                0.32279,                0.18287,                0.48286,                 65.019,                0.50562,              0.0065939,              0.0065939,              0.0065939
                      3,                 1.5634,                 1.6121,                 1.7141,                0.45669,                0.37062,                0.36263,                0.19841,                0.50102,                 45.681,                0.53464,              0.0097953,              0.0097953,              0.0097953
                      4,                 1.5876,                 1.6478,                 1.7377,                0.45578,                0.48298,                0.43328,                0.25166,                0.45609,                 94.748,                0.48656,               0.009703,               0.009703,               0.009703
                      5,                 1.5484,                 1.5849,                 1.7149,                0.61648,                0.46568,                0.50032,                0.29705,                0.44488,                 24.536,                 0.4796,               0.009604,               0.009604,               0.009604
                      1,                 1.7396,                 2.1509,                 1.9037,                0.46958,                0.37004,                0.30961,                0.16475,                0.51315,                 17.722,                  0.538,              0.0033265,              0.0033265,              0.0033265
                      2,                 1.5518,                 1.6469,                 1.7202,                0.51264,                0.34723,                0.37708,                 0.2106,                0.46778,                 38.331,                 0.5085,              0.0066269,              0.0066269,              0.0066269
