epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4945.97,0.87356,0.8149,1.19958,0.78923,0.73349,0.79329,0.60678,0.69537,1.74444,0.92518,0.007921,0.007921,0.007921
44,5061.79,0.86779,0.81098,1.1944,0.73909,0.77246,0.78876,0.60119,0.69044,1.51985,0.92532,0.0078715,0.0078715,0.0078715
45,5177.92,0.86509,0.80225,1.19199,0.75941,0.75585,0.78679,0.6003,0.6839,1.55502,0.91202,0.007822,0.007822,0.007822
46,5293.26,0.86113,0.79711,1.18991,0.78295,0.75667,0.79368,0.60657,0.67858,1.78743,0.91347,0.0077725,0.0077725,0.0077725
47,5409.22,0.85497,0.79195,1.18494,0.79793,0.73439,0.79106,0.60506,0.66507,1.71941,0.90158,0.007723,0.007723,0.007723
48,5525,0.8509,0.78571,1.18372,0.77555,0.75358,0.79134,0.60548,0.6746,1.48877,0.91128,0.0076735,0.0076735,0.0076735
49,5640.81,0.84258,0.77799,1.17801,0.78361,0.7522,0.79588,0.61114,0.67027,1.26049,0.90785,0.007624,0.007624,0.007624
50,5757.32,0.84202,0.76969,1.17397,0.79473,0.75179,0.79303,0.60813,0.67039,1.70922,0.90383,0.0075745,0.0075745,0.0075745
51,5872.71,0.83977,0.77322,1.17688,0.77622,0.76913,0.80189,0.61818,0.66959,1.64323,0.90803,0.007525,0.007525,0.007525
52,5989.34,0.83393,0.76563,1.16926,0.77497,0.78233,0.79822,0.61692,0.6604,1.35043,0.90366,0.0074755,0.0074755,0.0074755
53,6105.32,0.83448,0.76143,1.17257,0.77897,0.77948,0.80777,0.62542,0.66192,1.17301,0.91431,0.007426,0.007426,0.007426
54,6222.68,0.82706,0.75792,1.16751,0.79431,0.76128,0.81206,0.62801,0.65784,1.0005,0.89913,0.0073765,0.0073765,0.0073765
55,6339.75,0.82167,0.75152,1.16415,0.7927,0.77084,0.81079,0.62702,0.65015,0.97074,0.88855,0.007327,0.007327,0.007327
56,6455.94,0.818,0.74113,1.15899,0.77378,0.78197,0.81517,0.63342,0.64283,1.00923,0.88858,0.0072775,0.0072775,0.0072775
57,6572.03,0.81409,0.73725,1.1553,0.77481,0.78662,0.81849,0.63618,0.64005,1.05794,0.88114,0.007228,0.007228,0.007228
58,6688.8,0.81166,0.73422,1.15193,0.76674,0.79892,0.81406,0.63312,0.64165,1.35078,0.88471,0.0071785,0.0071785,0.0071785
59,6804.16,0.81488,0.7381,1.15601,0.78398,0.78925,0.81188,0.63346,0.63562,1.08906,0.87981,0.007129,0.007129,0.007129
60,6920.34,0.80979,0.72911,1.15549,0.78878,0.78288,0.8081,0.63115,0.64106,1.31871,0.88585,0.0070795,0.0070795,0.0070795
61,7035.81,0.80055,0.72036,1.14975,0.78408,0.7875,0.80562,0.63047,0.64629,1.42921,0.89559,0.00703,0.00703,0.00703
62,7152.01,0.79958,0.71672,1.14589,0.78935,0.79081,0.81086,0.63485,0.64436,1.54499,0.89598,0.0069805,0.0069805,0.0069805
63,7267.25,0.79497,0.71593,1.14618,0.78343,0.80576,0.81704,0.64059,0.63792,1.45433,0.89062,0.006931,0.006931,0.006931
64,7383.91,0.79908,0.72007,1.14891,0.79816,0.79094,0.81693,0.6434,0.62606,1.33554,0.88274,0.0068815,0.0068815,0.0068815
65,7500.71,0.78884,0.70754,1.13754,0.78801,0.80687,0.81955,0.6465,0.62301,1.10238,0.88209,0.006832,0.006832,0.006832
66,7616.72,0.79028,0.70357,1.14099,0.79301,0.80124,0.81939,0.64677,0.62578,1.02824,0.88235,0.0067825,0.0067825,0.0067825
67,7733.65,0.78391,0.69951,1.13664,0.78947,0.81072,0.82041,0.64869,0.62351,0.91557,0.88046,0.006733,0.006733,0.006733
68,7849.74,0.77621,0.69002,1.13147,0.78991,0.81915,0.82125,0.65023,0.61804,0.97217,0.8733,0.0066835,0.0066835,0.0066835
69,7966.42,0.77732,0.69216,1.13015,0.78241,0.8197,0.82092,0.65062,0.61811,0.93905,0.87493,0.006634,0.006634,0.006634
70,8082.5,0.77548,0.69,1.1327,0.78846,0.8173,0.82292,0.65222,0.61935,0.88623,0.87747,0.0065845,0.0065845,0.0065845
71,8199.13,0.77467,0.6826,1.13122,0.79058,0.8142,0.82545,0.65543,0.61314,0.84616,0.87376,0.006535,0.006535,0.006535
72,8315.39,0.76936,0.68134,1.12596,0.79506,0.81615,0.82705,0.65668,0.61279,0.84066,0.87238,0.0064855,0.0064855,0.0064855
73,8431.82,0.76783,0.68037,1.12507,0.79911,0.80954,0.83058,0.65839,0.61312,0.8353,0.87318,0.006436,0.006436,0.006436
74,8548.2,0.76414,0.67191,1.11968,0.80598,0.80636,0.83341,0.66025,0.61007,0.86925,0.87215,0.0063865,0.0063865,0.0063865
75,8664.79,0.75792,0.6676,1.11851,0.80308,0.80473,0.83039,0.65971,0.60935,0.9125,0.87281,0.006337,0.006337,0.006337
76,8780.31,0.75789,0.66883,1.121,0.80558,0.80525,0.83189,0.66213,0.60772,0.93381,0.87246,0.0062875,0.0062875,0.0062875
77,8896.75,0.75702,0.66497,1.11612,0.80441,0.80522,0.83234,0.66345,0.60455,0.89418,0.87176,0.006238,0.006238,0.006238
78,9013.19,0.7533,0.65959,1.11708,0.80906,0.80796,0.83293,0.66469,0.60198,0.88901,0.87097,0.0061885,0.0061885,0.0061885
79,9129.69,0.74633,0.65781,1.11031,0.80968,0.80862,0.83249,0.66494,0.60002,0.89102,0.86773,0.006139,0.006139,0.006139
80,9246.11,0.74862,0.6532,1.11353,0.81374,0.80387,0.83226,0.66574,0.60063,0.86386,0.86766,0.0060895,0.0060895,0.0060895
81,9362.6,0.74395,0.65338,1.10888,0.81944,0.80309,0.83316,0.66792,0.59651,0.85409,0.86308,0.00604,0.00604,0.00604
82,9478.81,0.73727,0.64911,1.10337,0.8209,0.80356,0.83354,0.66829,0.5929,0.83691,0.86075,0.0059905,0.0059905,0.0059905
83,9595.02,0.7376,0.64895,1.1087,0.82253,0.80373,0.83456,0.66875,0.5906,0.80934,0.85886,0.005941,0.005941,0.005941
84,9711.25,0.73658,0.63906,1.10397,0.81566,0.80515,0.8345,0.66937,0.58729,0.79615,0.85648,0.0058915,0.0058915,0.0058915
85,9827.72,0.73415,0.64076,1.10372,0.81934,0.80542,0.83455,0.67048,0.58509,0.77572,0.85566,0.005842,0.005842,0.005842
86,9944,0.7316,0.63898,1.10488,0.81944,0.80994,0.835,0.67089,0.58224,0.76884,0.85383,0.0057925,0.0057925,0.0057925
87,10060.3,0.73099,0.63549,1.10177,0.8185,0.80966,0.83571,0.67164,0.58031,0.75413,0.8529,0.005743,0.005743,0.005743
88,10176.8,0.72706,0.63836,1.10153,0.81998,0.80691,0.83652,0.67259,0.57941,0.74481,0.85178,0.0056935,0.0056935,0.0056935
89,10293.3,0.72217,0.62402,1.09544,0.8222,0.80609,0.83742,0.6737,0.57859,0.74137,0.85116,0.005644,0.005644,0.005644
90,10409.6,0.71941,0.62786,1.09506,0.81803,0.81262,0.83812,0.67523,0.57812,0.73767,0.85016,0.0055945,0.0055945,0.0055945
91,10525.7,0.71816,0.62518,1.0904,0.82245,0.80758,0.83854,0.67566,0.57832,0.73832,0.84999,0.005545,0.005545,0.005545
92,10642.6,0.71678,0.62109,1.09157,0.81869,0.81266,0.83831,0.67607,0.57876,0.73975,0.85067,0.0054955,0.0054955,0.0054955
93,10758.8,0.71146,0.62146,1.08932,0.81678,0.81255,0.83823,0.67584,0.57874,0.74482,0.85117,0.005446,0.005446,0.005446
94,10874.8,0.71348,0.61871,1.09285,0.81532,0.81574,0.83869,0.67628,0.5789,0.74313,0.85114,0.0053965,0.0053965,0.0053965
