                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2157,                 1.0503,                 1.3821,                0.80732,                0.71188,                0.79945,                 0.5446,                0.31756,                 4.7004,                0.38335,               0.000467,               0.000467,               0.000467
                     36,                 1.2078,                 1.0407,                 1.3779,                0.81974,                0.67535,                0.78561,                0.54124,                0.31117,                 5.7383,                0.37837,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.1979,                 1.0282,                   1.37,                0.80247,                0.72974,                0.79748,                0.54212,                 0.3057,                  3.932,                0.37879,             0.00041041,             0.00041041,             0.00041041
                     38,                  1.184,                 1.0142,                 1.3607,                0.79786,                0.70572,                0.79306,                0.56784,                0.29656,                 5.2119,                0.37402,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.1881,                 1.0089,                 1.3625,                0.81108,                0.73293,                0.81462,                0.57742,                0.30355,                 5.0091,                0.37865,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.1878,                 1.0079,                 1.3624,                 0.8034,                0.73268,                0.81731,                0.56585,                 0.3076,                 5.5754,                0.37876,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0901,                0.82616,                 1.3184,                 0.8576,                0.68509,                0.81464,                0.58014,                0.29557,                 2.6068,                 0.3726,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0654,                0.79632,                  1.304,                0.80666,                0.70433,                0.81808,                 0.5771,                0.30802,                 3.1274,                0.38001,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.0493,                0.77769,                 1.2883,                0.89448,                0.69224,                0.82886,                0.58921,                0.29804,                 2.1842,                0.37417,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.0387,                0.76612,                 1.2867,                0.85971,                0.70276,                0.82636,                0.58829,                0.30128,                 2.1277,                0.37781,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.0278,                0.75401,                 1.2786,                0.81057,                0.73588,                0.82629,                0.58464,                0.29961,                 2.3609,                0.37548,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.0156,                0.74195,                  1.272,                0.88564,                 0.7146,                0.83181,                0.58812,                0.29483,                 2.0434,                 0.3726,             0.00015576,             0.00015576,             0.00015576
                     47,                  1.004,                0.72987,                 1.2606,                 0.8722,                0.73984,                0.83952,                0.60185,                0.29159,                 1.7578,                0.37163,             0.00012747,             0.00012747,             0.00012747
                     48,                0.98631,                0.71696,                 1.2513,                0.85849,                0.73796,                0.83941,                0.60096,                0.28933,                  1.505,                 0.3699,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.98172,                0.70653,                 1.2455,                0.87942,                0.72231,                0.83678,                0.59944,                0.29017,                 1.4118,                0.36983,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.97685,                0.69965,                 1.2429,                0.88151,                0.72198,                0.83877,                0.59599,                0.28825,                 1.5243,                0.36951,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      1,                 1.7157,                 2.5059,                 1.9083,                0.30191,                0.19839,                0.16709,                0.08071,                 1.0256,                 151.04,                 1.1831,             0.00047438,             0.00047438,             0.00047438
                      2,                 1.6545,                 2.1333,                 1.8699,                0.34071,                0.24465,                0.20964,                0.09079,                0.99976,                 32.111,                 1.1453,             0.00093189,             0.00093189,             0.00093189
                      3,                  1.648,                  2.017,                 1.8545,                0.27447,                0.23294,                 0.2124,                0.10622,                 1.0033,                 29.691,                 1.1559,              0.0013705,              0.0013705,              0.0013705
                      4,                 1.6349,                 1.9494,                 1.8553,                0.43285,                0.24233,                0.25141,                0.11807,                0.98366,                 57.977,                 1.1256,              0.0013441,              0.0013441,              0.0013441
