epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2785.78,1.04921,1.09219,1.32488,0.69902,0.66422,0.68425,0.48624,0.81634,3.2597,1.02788,0.007921,0.007921,0.007921
44,2850.22,1.04488,1.08466,1.31727,0.69179,0.64496,0.68571,0.48356,0.82489,3.60891,1.03532,0.0078715,0.0078715,0.0078715
45,2914.58,1.04117,1.07705,1.31624,0.66883,0.68123,0.68603,0.48767,0.81031,3.12365,1.01808,0.007822,0.007822,0.007822
46,2979.02,1.03842,1.07602,1.31594,0.70112,0.67121,0.69671,0.49363,0.81163,3.59815,1.01198,0.0077725,0.0077725,0.0077725
47,3043.62,1.03169,1.07019,1.31219,0.69896,0.67793,0.69454,0.49044,0.80465,3.33688,1.00844,0.007723,0.007723,0.007723
48,3107.87,1.02795,1.06141,1.30673,0.67666,0.6846,0.69147,0.48997,0.80308,3.02705,1.00995,0.0076735,0.0076735,0.0076735
49,3172.25,1.02539,1.0568,1.30351,0.68891,0.67712,0.69191,0.49272,0.79399,3.20204,0.99744,0.007624,0.007624,0.007624
50,3236.52,1.02201,1.04523,1.30219,0.71362,0.67462,0.69201,0.49057,0.7979,3.02243,1.00093,0.0075745,0.0075745,0.0075745
51,3300.93,1.02607,1.05063,1.30651,0.7135,0.6574,0.70035,0.49868,0.79929,3.25963,1.00142,0.007525,0.007525,0.007525
52,3367.52,1.02255,1.04284,1.29924,0.70089,0.67684,0.70379,0.50281,0.79142,2.85284,0.99883,0.0074755,0.0074755,0.0074755
53,3434.54,1.02371,1.0417,1.3006,0.68665,0.68525,0.70169,0.50413,0.78856,2.55157,0.99494,0.007426,0.007426,0.007426
54,3501.21,1.01542,1.03365,1.29531,0.68746,0.68876,0.70543,0.50725,0.78552,2.86619,0.98931,0.0073765,0.0073765,0.0073765
55,3567.99,1.01279,1.02233,1.29468,0.72545,0.65768,0.71218,0.51267,0.78681,3.01459,0.99071,0.007327,0.007327,0.007327
56,3634.83,1.00641,1.02003,1.28806,0.69595,0.698,0.71525,0.51638,0.78416,3.44239,0.9956,0.0072775,0.0072775,0.0072775
57,3701.42,1.0052,1.01193,1.28488,0.70727,0.68377,0.71682,0.51692,0.77723,3.39002,0.98018,0.007228,0.007228,0.007228
58,3768.31,1.0032,1.00813,1.28253,0.70013,0.69623,0.71849,0.51719,0.7777,3.1209,0.98456,0.0071785,0.0071785,0.0071785
59,3834.79,1.00779,1.01595,1.28873,0.72473,0.68321,0.71705,0.51689,0.77312,3.20735,0.97814,0.007129,0.007129,0.007129
60,3901.14,1.00571,1.00611,1.28831,0.73579,0.68307,0.71785,0.51827,0.77522,2.74989,0.97746,0.0070795,0.0070795,0.0070795
61,3967.72,0.99158,1.00112,1.2782,0.70325,0.71577,0.71599,0.51737,0.77077,2.53067,0.97378,0.00703,0.00703,0.00703
62,4035.81,0.99338,0.99139,1.27425,0.72372,0.69272,0.71956,0.52099,0.76958,2.58203,0.97189,0.0069805,0.0069805,0.0069805
63,4102.4,0.98851,0.99192,1.27562,0.71569,0.71148,0.72548,0.527,0.76334,2.84215,0.96689,0.006931,0.006931,0.006931
64,4169.09,0.99261,0.99631,1.27735,0.72813,0.69945,0.72526,0.52665,0.76484,2.79848,0.96823,0.0068815,0.0068815,0.0068815
65,4235.56,0.98439,0.98161,1.26978,0.73311,0.70159,0.72563,0.52836,0.7653,2.75904,0.97249,0.006832,0.006832,0.006832
66,4302.15,0.98805,0.98102,1.27337,0.72949,0.70018,0.72475,0.52811,0.76136,2.78742,0.96906,0.0067825,0.0067825,0.0067825
67,4368.85,0.98115,0.97218,1.26811,0.73866,0.7,0.72632,0.53154,0.75876,2.56707,0.96538,0.006733,0.006733,0.006733
68,4435.72,0.97596,0.96536,1.26495,0.73171,0.70794,0.72898,0.53333,0.75286,2.55486,0.95956,0.0066835,0.0066835,0.0066835
69,4502.43,0.97755,0.97015,1.26241,0.7259,0.71089,0.7302,0.53446,0.75225,2.48883,0.96078,0.006634,0.006634,0.006634
70,4569.03,0.97582,0.96675,1.26696,0.73409,0.70875,0.73299,0.53704,0.74516,2.4316,0.95866,0.0065845,0.0065845,0.0065845
71,4635.79,0.9733,0.95653,1.26605,0.7404,0.70561,0.73519,0.53656,0.7451,2.45551,0.96088,0.006535,0.006535,0.006535
72,4702.38,0.97117,0.95725,1.2607,0.73655,0.70792,0.73605,0.53729,0.7454,2.36796,0.96134,0.0064855,0.0064855,0.0064855
73,4769.07,0.97103,0.9561,1.26031,0.73449,0.7182,0.73669,0.53907,0.74174,2.43155,0.95812,0.006436,0.006436,0.006436
74,4835.88,0.96964,0.94969,1.25303,0.73694,0.71375,0.73777,0.54006,0.74037,2.41954,0.95686,0.0063865,0.0063865,0.0063865
75,4902.57,0.96088,0.9414,1.25075,0.74394,0.71136,0.73824,0.54106,0.74187,2.39601,0.95767,0.006337,0.006337,0.006337
76,4969.28,0.96415,0.94759,1.25755,0.74756,0.70554,0.74017,0.54421,0.73894,2.36171,0.95589,0.0062875,0.0062875,0.0062875
77,5036.31,0.96229,0.93956,1.25326,0.74399,0.71512,0.74089,0.54585,0.73649,2.3296,0.95368,0.006238,0.006238,0.006238
78,5103.34,0.95862,0.93754,1.25059,0.74383,0.72077,0.74276,0.54766,0.73569,2.28222,0.95233,0.0061885,0.0061885,0.0061885
79,5171.92,0.95299,0.93379,1.24789,0.74454,0.71745,0.74478,0.54854,0.73819,2.23065,0.95443,0.006139,0.006139,0.006139
80,5240.51,0.95479,0.92463,1.24634,0.74388,0.71699,0.7455,0.54883,0.73738,2.21951,0.95394,0.0060895,0.0060895,0.0060895
81,5307.5,0.94852,0.92852,1.24334,0.7386,0.71916,0.74603,0.54981,0.73374,2.15894,0.95158,0.00604,0.00604,0.00604
82,5374.82,0.94354,0.91949,1.23935,0.73817,0.72074,0.74602,0.55119,0.73353,2.13191,0.95044,0.0059905,0.0059905,0.0059905
83,5442.3,0.94669,0.92025,1.2443,0.73817,0.72269,0.74784,0.55227,0.73265,2.0889,0.95029,0.005941,0.005941,0.005941
84,5509.86,0.94896,0.91204,1.23991,0.74709,0.71458,0.74863,0.55292,0.73227,2.09881,0.95,0.0058915,0.0058915,0.0058915
85,5577.66,0.94579,0.91069,1.24116,0.7496,0.71109,0.74987,0.55461,0.73019,2.06658,0.94864,0.005842,0.005842,0.005842
86,5645.17,0.9401,0.90933,1.23853,0.75823,0.70699,0.74995,0.55509,0.72888,2.05833,0.94733,0.0057925,0.0057925,0.0057925
87,5712.69,0.94282,0.90994,1.2381,0.76288,0.7048,0.7496,0.55544,0.72712,2.05388,0.94595,0.005743,0.005743,0.005743
88,5780.13,0.93769,0.9097,1.23685,0.75353,0.71145,0.75076,0.556,0.72561,2.07632,0.94479,0.0056935,0.0056935,0.0056935
89,5848.6,0.93349,0.89136,1.23121,0.75675,0.7102,0.75133,0.55636,0.72428,2.0656,0.94356,0.005644,0.005644,0.005644
90,5915.97,0.93075,0.89558,1.23109,0.75512,0.71136,0.75175,0.55706,0.72269,2.04986,0.94191,0.0055945,0.0055945,0.0055945
91,5983.01,0.93513,0.89759,1.2291,0.75634,0.70919,0.75225,0.55768,0.72266,2.04608,0.94153,0.005545,0.005545,0.005545
92,6051.14,0.93131,0.89476,1.2291,0.7438,0.72307,0.75211,0.55829,0.72187,2.03059,0.94091,0.0054955,0.0054955,0.0054955
93,6118.71,0.92463,0.89399,1.22379,0.74997,0.71741,0.75265,0.55912,0.72169,2.03755,0.9402,0.005446,0.005446,0.005446
94,6185.69,0.93207,0.89033,1.23154,0.73472,0.73624,0.75321,0.55982,0.72149,2.01936,0.93958,0.0053965,0.0053965,0.0053965
95,6252.76,0.92923,0.89017,1.22913,0.73929,0.73325,0.7542,0.56052,0.72152,2.02573,0.93979,0.005347,0.005347,0.005347
96,6320.66,0.92298,0.88025,1.22435,0.74301,0.73101,0.75406,0.56028,0.72067,2.04868,0.93942,0.0052975,0.0052975,0.0052975
97,6387.27,0.92188,0.87779,1.22521,0.73906,0.73047,0.75492,0.56062,0.72052,2.06488,0.93909,0.005248,0.005248,0.005248
98,6454.98,0.92167,0.87932,1.22247,0.74014,0.73236,0.75541,0.56047,0.71944,2.0883,0.93801,0.0051985,0.0051985,0.0051985
99,6522.03,0.91659,0.87405,1.22131,0.7449,0.72659,0.75542,0.56102,0.71799,2.11508,0.93654,0.005149,0.005149,0.005149
100,6589.26,0.91555,0.87374,1.22088,0.74744,0.72502,0.75593,0.56168,0.71679,2.11092,0.93499,0.0050995,0.0050995,0.0050995
101,6656.21,0.91081,0.86711,1.21622,0.7472,0.72604,0.75618,0.56196,0.71607,2.11705,0.93421,0.00505,0.00505,0.00505
102,6723.55,0.91658,0.86698,1.22132,0.74582,0.72649,0.75615,0.56316,0.71562,2.09619,0.93353,0.0050005,0.0050005,0.0050005
103,6790.97,0.91439,0.86557,1.21778,0.74574,0.72519,0.75612,0.56316,0.71433,2.08764,0.93232,0.004951,0.004951,0.004951
104,6857.73,0.91154,0.86816,1.21877,0.74339,0.72911,0.75613,0.56293,0.71421,2.07422,0.93206,0.0049015,0.0049015,0.0049015
105,6925.73,0.9064,0.85812,1.21306,0.74519,0.73139,0.75657,0.56336,0.71401,2.07727,0.93179,0.004852,0.004852,0.004852
106,6993,0.90667,0.85698,1.21337,0.75063,0.72515,0.75689,0.56376,0.71359,2.08111,0.93168,0.0048025,0.0048025,0.0048025
107,7061.14,0.90179,0.84802,1.21011,0.7502,0.72582,0.75811,0.56441,0.71286,2.07536,0.93133,0.004753,0.004753,0.004753
108,7128.42,0.90708,0.85054,1.21425,0.75363,0.72607,0.7588,0.56484,0.71177,2.05865,0.93058,0.0047035,0.0047035,0.0047035
109,7195.43,0.89941,0.85392,1.21085,0.75351,0.72766,0.75985,0.56541,0.71107,2.04282,0.93027,0.004654,0.004654,0.004654
110,7264.57,0.89122,0.84058,1.20298,0.75617,0.72625,0.76003,0.56619,0.71015,2.02672,0.92972,0.0046045,0.0046045,0.0046045
111,7331.67,0.89431,0.84164,1.2011,0.75788,0.72792,0.76048,0.5666,0.70966,2.02851,0.92967,0.004555,0.004555,0.004555
112,7399.12,0.89607,0.83512,1.20436,0.7569,0.72939,0.76087,0.56686,0.70922,2.04076,0.92926,0.0045055,0.0045055,0.0045055
113,7466.58,0.89273,0.83895,1.19908,0.7544,0.73273,0.76079,0.56705,0.70842,2.04811,0.92842,0.004456,0.004456,0.004456
