                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0429,                0.80984,                 1.2859,                0.79374,                0.82757,                0.87083,                 0.6261,                0.27707,                 2.7811,                0.36729,               0.000467,               0.000467,               0.000467
                     36,                 1.0278,                 0.7996,                 1.2784,                0.77957,                  0.808,                0.85042,                0.61553,                0.28038,                 2.5526,                 0.3705,              0.0004387,              0.0004387,              0.0004387
                     37,                   1.02,                0.78821,                 1.2709,                0.84856,                0.76492,                0.86145,                0.63257,                0.27375,                 2.2699,                0.36282,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0004,                 0.7734,                 1.2581,                0.79715,                0.81892,                  0.849,                 0.6227,                 0.2727,                 2.2336,                0.36509,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.0022,                0.76543,                 1.2564,                 0.7904,                0.83008,                0.84956,                0.62698,                0.27574,                 1.6296,                0.36683,             0.00035382,             0.00035382,             0.00035382
                     40,                0.99571,                0.76001,                 1.2513,                0.78611,                0.81933,                0.84241,                0.62607,                0.26952,                  1.837,                0.36206,             0.00032553,             0.00032553,             0.00032553
                     41,                0.88203,                0.57939,                 1.1956,                0.83902,                0.76856,                0.85187,                0.63297,                0.27736,                 1.5904,                0.36641,             0.00029723,             0.00029723,             0.00029723
                     42,                0.85149,                0.55274,                 1.1746,                0.81106,                0.80388,                0.85235,                0.62778,                0.27332,                 2.2305,                0.36623,             0.00026894,             0.00026894,             0.00026894
                     43,                0.83529,                 0.5326,                 1.1596,                0.82719,                0.80192,                 0.8565,                0.63043,                0.27212,                 1.1271,                0.36517,             0.00024064,             0.00024064,             0.00024064
                     44,                0.82165,                0.52595,                 1.1546,                0.78559,                0.85772,                0.87092,                0.64549,                0.27612,                 1.2727,                 0.3684,             0.00021235,             0.00021235,             0.00021235
                     45,                 0.8056,                0.51019,                 1.1416,                0.83186,                 0.7825,                0.86089,                0.63976,                0.26829,                0.93828,                0.36578,             0.00018406,             0.00018406,             0.00018406
                     46,                0.79165,                0.50132,                 1.1324,                0.81277,                0.83735,                0.86978,                0.64305,                0.26642,                0.87701,                0.36573,             0.00015576,             0.00015576,             0.00015576
                     47,                0.77499,                0.48702,                 1.1216,                0.85093,                 0.8433,                0.87389,                0.64445,                0.27033,                0.51091,                0.37059,             0.00012747,             0.00012747,             0.00012747
                     48,                0.75923,                0.47508,                 1.1114,                0.84472,                 0.8486,                 0.8691,                0.64677,                0.26595,                0.58248,                0.36869,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.75005,                 0.4707,                 1.1046,                0.83726,                 0.8396,                0.86067,                0.63932,                0.26509,                0.50858,                0.36815,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.74561,                0.46209,                 1.1034,                0.83233,                0.83473,                0.86401,                0.64314,                0.26584,                0.60773,                0.36858,             4.2584e-05,             4.2584e-05,             4.2584e-05
                      1,                 1.8229,                 2.3781,                  2.043,                0.34152,                0.26809,                 0.2268,                0.09618,                0.55817,                 58.103,                0.63129,              0.0033265,              0.0033265,              0.0033265
                      2,                 1.6366,                 1.8533,                 1.8374,                0.26927,                0.34401,                0.20207,                0.10228,                0.57027,                 192.27,                0.62059,              0.0065939,              0.0065939,              0.0065939
                      3,                 1.6283,                 1.8071,                  1.832,                0.46043,                0.28266,                0.28741,                0.16466,                0.46382,                 157.29,                0.56197,              0.0097953,              0.0097953,              0.0097953
                      4,                 1.6377,                 1.8123,                 1.8554,                0.51129,                0.39269,                0.43377,                0.22017,                 0.5395,                 66.102,                0.60565,               0.009703,               0.009703,               0.009703
                      5,                 1.5962,                 1.7385,                  1.828,                0.47869,                0.47897,                0.44985,                0.25283,                0.44925,                  35.35,                0.54315,               0.009604,               0.009604,               0.009604
                      6,                 1.5531,                 1.6583,                  1.789,                0.60455,                0.47208,                0.50405,                0.29577,                0.46212,                 65.828,                0.55126,               0.009505,               0.009505,               0.009505
                      7,                 1.5114,                 1.5579,                 1.7488,                0.70706,                0.44809,                0.52098,                0.31039,                0.45955,                 34.796,                0.55087,               0.009406,               0.009406,               0.009406
                      8,                 1.4859,                 1.5179,                 1.7276,                0.64448,                0.50504,                0.55441,                0.34054,                0.43132,                  62.52,                0.52249,               0.009307,               0.009307,               0.009307
                      9,                 1.4455,                 1.4301,                 1.6884,                0.77736,                0.46841,                0.58084,                0.38319,                0.38174,                 39.338,                0.49563,               0.009208,               0.009208,               0.009208
                     10,                 1.4241,                 1.3966,                   1.68,                0.70915,                0.58669,                0.62649,                0.39663,                0.39295,                 28.978,                0.51091,               0.009109,               0.009109,               0.009109
                     11,                  1.406,                 1.3521,                 1.6548,                0.72946,                0.52097,                0.61547,                0.39003,                0.40096,                 25.243,                0.50185,                0.00901,                0.00901,                0.00901
                     12,                 1.3879,                 1.3147,                 1.6407,                0.75516,                0.62817,                0.68275,                0.43905,                0.38211,                 22.898,                0.49183,               0.008911,               0.008911,               0.008911
                     13,                 1.3564,                 1.2685,                 1.6227,                0.84455,                0.54359,                0.70226,                0.46709,                0.36371,                 17.607,                0.47913,               0.008812,               0.008812,               0.008812
                     14,                 1.3365,                 1.2423,                 1.6033,                 0.7595,                0.63279,                0.71116,                0.48111,                0.36988,                 21.722,                0.48794,               0.008713,               0.008713,               0.008713
                     15,                 1.3184,                 1.2132,                 1.5832,                0.76942,                0.60551,                0.71488,                0.47574,                0.35611,                 20.958,                0.46947,               0.008614,               0.008614,               0.008614
                     16,                 1.3016,                 1.1734,                 1.5654,                0.78474,                0.61158,                0.68949,                0.44325,                0.36428,                 19.074,                0.46877,               0.008515,               0.008515,               0.008515
                     17,                 1.2928,                 1.1571,                 1.5642,                 0.7617,                0.66735,                0.75151,                0.48508,                0.35965,                 15.528,                0.46659,               0.008416,               0.008416,               0.008416
                     18,                 1.2712,                 1.1281,                 1.5407,                0.86167,                0.64546,                0.76872,                0.53519,                 0.3288,                 24.223,                0.45186,               0.008317,               0.008317,               0.008317
                     19,                 1.2508,                 1.1017,                 1.5318,                0.80272,                0.69655,                 0.7997,                0.53738,                0.33344,                 12.539,                0.45166,               0.008218,               0.008218,               0.008218
                     20,                 1.2366,                 1.0786,                 1.5122,                0.78668,                0.67535,                0.78882,                0.52499,                0.34725,                 9.3187,                0.45168,               0.008119,               0.008119,               0.008119
                     21,                  1.221,                 1.0594,                  1.499,                0.79396,                 0.6778,                0.78969,                0.55463,                0.32997,                 8.0098,                0.43908,                0.00802,                0.00802,                0.00802
                     22,                 1.2083,                 1.0337,                 1.4911,                0.82074,                0.66185,                0.77628,                0.53355,                0.32396,                 8.5557,                0.44171,               0.007921,               0.007921,               0.007921
                     23,                 1.1984,                 1.0125,                  1.473,                0.76524,                0.76257,                 0.8292,                0.57292,                0.31917,                 5.4934,                0.43817,               0.007822,               0.007822,               0.007822
                     24,                 1.1685,                0.98929,                 1.4634,                0.78504,                0.75436,                0.83757,                0.57816,                0.31988,                 8.9215,                0.43993,               0.007723,               0.007723,               0.007723
                     25,                 1.1692,                0.97851,                 1.4532,                0.80417,                0.70605,                0.81417,                0.56928,                0.31301,                 17.898,                0.43573,               0.007624,               0.007624,               0.007624
                     26,                 1.1555,                0.96812,                 1.4505,                0.83104,                0.77762,                0.84961,                 0.5681,                0.32257,                 9.4505,                0.43407,               0.007525,               0.007525,               0.007525
                     27,                 1.1463,                0.95834,                 1.4409,                0.81942,                0.72933,                0.84045,                0.58042,                0.31224,                 4.6564,                0.43064,               0.007426,               0.007426,               0.007426
                     28,                  1.126,                0.92354,                 1.4194,                0.81043,                  0.802,                0.86207,                 0.6102,                 0.3084,                 5.4301,                0.43096,               0.007327,               0.007327,               0.007327
                     29,                 1.1184,                0.90484,                 1.4098,                0.76678,                0.76771,                0.83088,                0.57728,                  0.303,                 10.972,                0.43051,               0.007228,               0.007228,               0.007228
                     30,                 1.1039,                0.90308,                 1.4008,                0.83689,                0.74168,                0.84753,                0.61004,                0.29183,                 3.7551,                0.41576,               0.007129,               0.007129,               0.007129
                     31,                 1.0926,                0.88618,                 1.3964,                0.79238,                0.77555,                 0.8544,                0.61992,                0.30546,                 4.3092,                0.42374,                0.00703,                0.00703,                0.00703
                     32,                 1.0849,                0.87766,                 1.3846,                0.81252,                0.76442,                 0.8508,                0.60631,                0.29945,                 6.1446,                0.41282,               0.006931,               0.006931,               0.006931
                     33,                 1.0749,                0.86624,                 1.3817,                0.84354,                0.76505,                0.86903,                0.60717,                0.29635,                 5.2236,                0.41692,               0.006832,               0.006832,               0.006832
                     34,                 1.0692,                0.85804,                 1.3724,                0.84657,                0.81052,                0.88593,                0.64133,                  0.288,                 4.9412,                0.41754,               0.006733,               0.006733,               0.006733
                     35,                 1.0559,                0.84025,                 1.3624,                0.85119,                 0.7925,                0.88062,                0.63168,                0.28268,                 4.4468,                0.41197,               0.006634,               0.006634,               0.006634
                     36,                 1.0461,                0.83151,                 1.3567,                0.80893,                0.81895,                0.88211,                0.62843,                0.28957,                 3.9616,                0.41614,               0.006535,               0.006535,               0.006535
                     37,                 1.0367,                0.82383,                 1.3511,                0.81051,                0.81045,                0.89171,                0.64039,                0.28647,                 4.7409,                0.41452,               0.006436,               0.006436,               0.006436
                     38,                 1.0214,                0.81463,                 1.3395,                0.78268,                0.85535,                0.88902,                0.63045,                0.28535,                 5.5699,                0.41095,               0.006337,               0.006337,               0.006337
                     39,                 1.0224,                0.80834,                 1.3377,                0.78203,                0.83614,                0.87334,                0.62603,                0.27782,                 4.3885,                0.41119,               0.006238,               0.006238,               0.006238
                     40,                 1.0144,                0.79986,                 1.3292,                0.81399,                0.79644,                 0.8723,                0.62138,                0.28027,                 4.3628,                0.40815,               0.006139,               0.006139,               0.006139
